dni_socio,nombre,apell1,apell2,direccion,correo_e,cod_postal_cod_postal,sede_idsede,evento_cod_evento,cuota_tipo,cuota_importe,cuota_cc
69920606P,Moya,Torres,Ana Belen,Glorieta Lorem ipsum dolor 107A 5A,'torres.moya@correo.com',11680,5,14,trimestral,10,MC7426943447019580313912629
56601801C,Mora,Diaz,Jose ,Carretera Lorem 249A 14E,'diaz.mora@correo.com',8733,2,9,anual,10,MC5828214954205338889828744
50084540Q,Gutierrez,Gimenez,Maria ,Pasadizo Lorem ipsum 7B 8B,'gimenez.gutierrez@correo.com',2512,7,8,mensual,50,MC5492313829455176982975920
41327583X,Molina,Parra,Ana Belen,Calle Lorem 30A,'parra.molina@correo.com',24235,14,,mensual,100,MC9281452662355894512310924
96231361M,Moreno,Herrera,Juan Francisco,Carrer Lorem 93 11A,'herrera.moreno@correo.com',18491,15,,mensual,50,ME60043032533135219382
11943030G,Garrido,Crespo,Pilar ,Acceso Lorem ipsum 32 15F,'crespo.garrido@correo.com',43558,16,,mensual,10,ME13188638660227646081
21492373T,Marin,Benitez,Alejandra ,Pasadizo Lorem ipsum dolor 212B 3H,'benitez.marin@correo.com',43816,2,,trimestral,5,ME82608318996043837340
67823605D,Santana,Munoz,Alberto ,Pasaje Lorem 186 18D,'munoz.santana@correo.com',25597,18,,anual,15,ME15121909794401990976
91672553G,Arias,Ramirez,Montserrat ,Avenida Lorem ipsum dolor sit 90A 11A,'ramirez.arias@correo.com',15998,15,,mensual,5,ME76417412116089156198
39526921H,Herrera,Saez,Victoria ,Camino Lorem ipsum dolor 16 6G,'saez.herrera@correo.com',45512,15,,mensual,15,NL23CGPQ0251595242
52138005H,Navarro,Gallego,Montserrat ,Pasaje Lorem ipsum dolor 75B 8E,'gallego.navarro@correo.com',17492,5,,mensual,10,NL21FPBW0870850199
33304004G,Dominguez,Crespo,Marta ,Via Lorem ipsum dolor sit 134 17A,'crespo.dominguez@correo.com',10640,4,,mensual,5,NL15TVWK0331902885
84836412S,Fernandez,Crespo,Fernando ,Camino Lorem ipsum 159,'crespo.fernandez@correo.com',15119,8,,trimestral,5,NL13RTEF0518590011
72029783Q,Santos,Pascual,Concepcion ,Glorieta Lorem ipsum dolor sit 203B 12A,'pascual.santos@correo.com',27132,5,,anual,5,NL40SGFW1252215983
10990470N,Hidalgo,Cabrera,Josefa ,Acceso Lorem ipsum dolor sit 185 10D,'cabrera.hidalgo@correo.com',14730,13,,mensual,5,NC9532788614647022310269396
85930492P,Saez,Gonzalez,Vicente ,Canada Lorem ipsum 159B 10B,'gonzalez.saez@correo.com',27000,1,,mensual,5,NC2053292379717332255189037
17621266T,Dominguez,Rodriguez,Iker ,Acceso Lorem ipsum dolor sit 208B 5F,'rodriguez.dominguez@correo.com',33324,17,,mensual,10,NC9105701404726570049169877
00320827T,Pena,Vazquez,Pilar ,Carretera Lorem ipsum dolor 99,'vazquez.pena@correo.com',50142,1,,mensual,10,NC1021801619496974025318651
82209414P,Rojas,Esteban,Francisco Javier,Glorieta Lorem ipsum dolor 11B,'esteban.rojas@correo.com',33592,4,,trimestral,50,NC1729434258559239166499130
77412397D,Rojas,Sanchez,Angela ,Callejon Lorem ipsum 131A 17H,'sanchez.rojas@correo.com',31589,6,,anual,100,NO5384279272034
69417776G,Rubio,Hernandez,Emilia ,C. Comercial Lorem ipsum dolor 61B,'hernandez.rubio@correo.com',31696,4,,mensual,50,NO9739077211102
69745010V,Campos,Esteban,Joan ,C. Comercial Lorem ipsum 132A 4H,'esteban.campos@correo.com',36615,6,,mensual,10,NO7009234138626
87831251R,Lopez,Gonzalez,Maria Isabel,Carretera Lorem ipsum 292B 3A,'gonzalez.lopez@correo.com',24210,2,,mensual,5,NO4448361377130
51469075C,Vazquez,Ramos,Maria ,Acceso Lorem ipsum 60B 1F,'ramos.vazquez@correo.com',46268,5,,mensual,15,NO7962522169141
48560516H,Rojas,Vega,Jose Angel,Canada Lorem ipsum 239 19F,'vega.rojas@correo.com',44565,18,,trimestral,5,PL58515427093787930748060666
85453334P,Vega,Molina,Domingo ,Rambla Lorem 168A,'molina.vega@correo.com',7220,3,,anual,15,PL22980511341176988398762666
98726340J,Lopez,Moreno,Maria Josefa,Via Lorem 126B 10D,'moreno.lopez@correo.com',5500,6,,mensual,10,PL08239642036391620641611736
27245022G,Mendez,Crespo,Lidia ,Paseo Lorem ipsum dolor 82A 17G,'crespo.mendez@correo.com',15169,17,,mensual,5,PL67449258602191338152126294
92265803S,Montero,Caballero,Maria Rosario,Carrera Lorem ipsum dolor 159B 17E,'caballero.montero@correo.com',47470,11,,mensual,5,PL82771306277364889467742211
00813999Y,Carmona,Delgado,Noelia ,Paseo Lorem ipsum dolor 141A 17B,'delgado.carmona@correo.com',35080,14,,mensual,5,PT12014625392693045083592
16406476R,Roman,Martin,Maria Mar,Via Lorem 70B 2B,'martin.roman@correo.com',34250,13,,trimestral,5,PT80898047569635824751698
90312572J,Ibanez,Ruiz,Yolanda ,Via Lorem ipsum 162 3D,'ruiz.ibanez@correo.com',46500,6,,anual,5,PT12065330847682220414039
38834840F,Lopez,Guerrero,Patricia ,Cuesta Lorem 37B 7A,'guerrero.lopez@correo.com',28036,3,,mensual,10,PT98681708278396096913836
66308100C,Alvarez,Pena,Marcos ,Plaza Lorem ipsum dolor 163 18G,'pena.alvarez@correo.com',15994,3,,mensual,10,PT49242951581988705914025
86134061G,Molina,Leon,Jordi ,Callejon Lorem ipsum dolor sit 181A,'leon.molina@correo.com',47220,1,,mensual,50,RO14JLFB9551925334163469
60720398F,Torres,Lopez,Sandra ,Rambla Lorem ipsum 21A,'lopez.torres@correo.com',10374,6,,mensual,100,RO81QBBE5290470985636122
78127532M,Pascual,Diez,Maria Nieves,Rambla Lorem ipsum dolor sit 34A 11G,'diez.pascual@correo.com',32781,16,,trimestral,50,RO11VYHO3215271561449480
45471867Q,Soler,Lopez,Natalia ,Carrer Lorem ipsum dolor 133A,'lopez.soler@correo.com',27893,8,,anual,10,RO57EAOP2023783320803714
47662642H,Castillo,Blanco,Dolores ,Pasaje Lorem ipsum dolor sit 189A 11H,'blanco.castillo@correo.com',22216,8,,mensual,5,RO21HNFU2813681045796465
70081387L,Guerrero,Alonso,Manuela ,Alameda Lorem ipsum 41A 8F,'alonso.guerrero@correo.com',39212,12,,mensual,15,PM8059411251360674293481450
18850504A,Gutierrez,Lozano,Carolina ,Plaza Lorem ipsum dolor 297A 8D,'lozano.gutierrez@correo.com',15005,15,,mensual,5,PM5203212193960732379060042
33107835W,Cabrera,Lozano,Maria Pilar,Travesia Lorem ipsum 16A 11H,'lozano.cabrera@correo.com',45643,5,,mensual,15,PM7466602890486264340672969
53127157D,Moya,Cruz,Inmaculada ,Callejon Lorem 112 2E,'cruz.moya@correo.com',24812,13,,trimestral,10,PM6367055534424386034425612
61224126N,Medina,Hidalgo,Jose Ramon,Callejon Lorem 148A 19C,'hidalgo.medina@correo.com',10170,17,,anual,5,PM2060260873302215070303208
62642743N,Diaz,Alvarez,Francisco ,Pasadizo Lorem ipsum dolor sit 285B 12H,'alvarez.diaz@correo.com',8279,17,,mensual,5,SM70N8724751165335491824812
80974847N,Martin,Martin,Carla ,Alameda Lorem ipsum 37 15A,'martin.martin@correo.com',22480,8,,mensual,5,SM78X1135489836211118891839
96125094K,Cabrera,Calvo,Andres ,Glorieta Lorem 225 6D,'calvo.cabrera@correo.com',36430,2,,mensual,5,SM97M4888143036388138800185
64139808F,Nieto,Gutierrez,Maria Mar,Pasaje Lorem ipsum 104,'gutierrez.nieto@correo.com',24763,13,,mensual,5,SM72C9584723533916792029340
50162816T,Nunez,Castro,Juan Antonio,Carrera Lorem 150,'castro.nunez@correo.com',2653,3,,trimestral,10,SM90M9981908196491432695525
74099914D,Santana,Diaz,Ana Maria,Camino Lorem ipsum dolor sit 10B 3A,'diaz.santana@correo.com',7460,15,,anual,10,SA5591720552379162070001
98441909T,Herrera,Gimenez,Maria Soledad,Glorieta Lorem 17 9E,'gimenez.herrera@correo.com',45470,8,,mensual,50,SA0545544944406431392597
38800234Q,Jimenez,Velasco,Victoria ,Cuesta Lorem ipsum dolor sit 121 6C,'velasco.jimenez@correo.com',28821,15,,mensual,100,SA1667630781004847967711
82357405V,Medina,Gonzalez,Montserrat ,Pasadizo Lorem ipsum 34 17D,'gonzalez.medina@correo.com',28490,6,,mensual,50,SA2589813740329129166910
73477669Y,Roman,Nieto,Jose Antonio,Rambla Lorem 62 9G,'nieto.roman@correo.com',33315,11,,mensual,10,SA7081962486570441251637
22154724C,Montero,Rodriguez,Victor Manuel,Urbanizacion Lorem 5 19F,'rodriguez.montero@correo.com',27800,3,,trimestral,5,RS85033307149788542871
84708688X,Ramirez,Carrasco,Maria Josefa,Carrera Lorem ipsum 135A 12E,'carrasco.ramirez@correo.com',38008,7,,anual,15,RS52665698845368481211
30226046K,Soto,Molina,Jose Carlos,Travesia Lorem 128B,'molina.soto@correo.com',48970,13,,mensual,5,RS82691654340096587307
70415510K,Pastor,Martinez,Maria Dolores,Avenida Lorem 45A 12A,'martinez.pastor@correo.com',28916,8,,mensual,15,RS88844660406878687897
41850821K,Nunez,Castillo,Miriam ,Pasaje Lorem 165 18H,'castillo.nunez@correo.com',23590,11,,mensual,10,RS55472917853273859291
06146331H,Morales,Diaz,Jose Carlos,Via Lorem ipsum 72B 20G,'diaz.morales@correo.com',23616,9,,mensual,5,SK4167111421162529673536
12882684Q,Rubio,Marquez,Catalina ,Urbanizacion Lorem 174A 1A,'marquez.rubio@correo.com',27738,17,,trimestral,5,SK4589732621505695319336
19364968A,Herrera,Lopez,Alicia ,Alameda Lorem ipsum 86B 1F,'lopez.herrera@correo.com',9554,14,,anual,5,SK4492457066924445710519
78157059T,Santiago,Lorenzo,Rosario ,Acceso Lorem 88 19G,'lorenzo.santiago@correo.com',28511,5,,mensual,5,SK9190300791649333346556
85342061D,Delgado,Blanco,Gregorio ,Carrer Lorem ipsum dolor 64A 14B,'blanco.delgado@correo.com',47410,5,,mensual,5,SK6835978956449243145407
36730549D,Lozano,Ortiz,Gonzalo ,Carrer Lorem 54B,'ortiz.lozano@correo.com',49750,1,,mensual,10,SI26085198624502816
50206097H,Crespo,Ramirez,Sergio ,Via Lorem 54,'ramirez.crespo@correo.com',46409,10,,mensual,10,SI85363467889027196
14493786Z,Soler,Diaz,Laura ,Via Lorem ipsum 288A,'diaz.soler@correo.com',49525,5,,trimestral,50,SI93016808632808860
00026791L,Morales,Nunez,Marina ,Canada Lorem ipsum 284B 1E,'nunez.morales@correo.com',31697,12,14,anual,100,SI45000543512611896
58168066P,Rodriguez,Alonso,Julio ,Carrer Lorem ipsum dolor sit 123A,'alonso.rodriguez@correo.com',26145,18,,mensual,50,SI14647150971707561
36385044X,Hidalgo,Romero,Fernando ,Urbanizacion Lorem ipsum dolor 42 10F,'romero.hidalgo@correo.com',8607,1,,mensual,10,ES2364265841767173822054
77778928N,Moreno,Caballero,Agustin ,Alameda Lorem ipsum dolor 13A 14H,'caballero.moreno@correo.com',34248,14,,mensual,5,ES5577644480024527929849
11406765F,Lopez,Gil,Juan Antonio,Glorieta Lorem 186A 14B,'gil.lopez@correo.com',13690,10,,mensual,15,ES7502766977729557202723
54017853F,Vargas,Guerrero,Tomas ,Callejon Lorem 135B 11A,'guerrero.vargas@correo.com',28027,14,,trimestral,5,ES3282395478259622275430
02206837X,Arias,Castro,Jose Carlos,Calle Lorem 130B 7C,'castro.arias@correo.com',49357,9,,anual,10,ES9034258324029250165663
34114515H,Felip,Mendez,Luis ,Carretera Lorem ipsum dolor sit 22A 10D,'mendez.felip@correo.com',40123,12,,mensual,10,SE3159169406714737443256
01193156P,Dominguez,Ibanez,Jorge ,Callejon Lorem 110A 18E,'ibanez.dominguez@correo.com',28053,12,,mensual,100,SE2636432381651868407029
10365360L,Hidalgo,Ortiz,Maria Concepcion,Glorieta Lorem 250B 13C,'ortiz.hidalgo@correo.com',35629,17,,mensual,50,SE3280552515152942260664
43700301W,Gonzalez,Medina,Emilia ,Acceso Lorem 32A 2F,'medina.gonzalez@correo.com',46420,18,,mensual,10,SE7905464316022155413548
85955758C,Nunez,Prieto,Juan ,Canada Lorem ipsum 31A 12E,'prieto.nunez@correo.com',45512,2,5,trimestral,5,SE8953084170161031273426
77301767D,Martinez,Flores,Santiago ,Avenida Lorem ipsum dolor sit 106A 1A,'flores.martinez@correo.com',25004,10,1,anual,15,CH1987364322975299818
13825363V,Gomez,Lopez,Angel ,Acceso Lorem ipsum 97 19D,'lopez.gomez@correo.com',43440,16,1,mensual,5,CH4269286867620396437
41725274P,Delgado,Santiago,Jaime ,Ronda Lorem ipsum 249A,'santiago.delgado@correo.com',37247,9,18,mensual,15,CH2296292579429731980
31052329Y,Hernandez,Diaz,Dolores ,Pasadizo Lorem 262 10F,'diaz.hernandez@correo.com',18640,9,17,mensual,10,CH6518929919723772608
77590071P,Pena,Diez,Josep ,Calle Lorem ipsum dolor sit 97B 2E,'diez.pena@correo.com',33885,6,9,mensual,5,CH9093021641139942126
90656432T,Ortega,Blanco,Alicia ,Calle Lorem 6B 9B,'blanco.ortega@correo.com',44412,9,5,trimestral,5,TN9670288139885457943736
70327364B,Caballero,Santiago,Susana ,Glorieta Lorem ipsum 112 20H,'santiago.caballero@correo.com',15189,12,1,anual,5,TN8738524364626879391407
39054196N,Gil,Dominguez,Alba ,Acceso Lorem ipsum 117B 3C,'dominguez.gil@correo.com',40298,16,3,mensual,5,TN7275949269046889239714
83333026R,Campos,Castro,Daniel ,Via Lorem ipsum 48B,'castro.campos@correo.com',37428,3,6,mensual,5,TN4006837077003057397517
18590446Y,Santana,Iglesias,Jose Maria,Via Lorem ipsum dolor 135A 12F,'iglesias.santana@correo.com',25588,4,5,mensual,10,TN8683931110271287238460
92438154G,Pastor,Torres,Javier ,Carrera Lorem ipsum dolor sit 104A 13H,'torres.pastor@correo.com',46692,16,8,mensual,10,TR493318798613751080384953
78304903T,Gonzalez,Gutierrez,Alejandro ,Callejon Lorem 192 7D,'gutierrez.gonzalez@correo.com',17453,2,11,trimestral,50,TR314256533622834177853745
19422109N,Martin,Velasco,Gonzalo ,Plaza Lorem ipsum 139A,'velasco.martin@correo.com',27672,10,1,anual,100,TR080572402207758013538147
99314593H,Carmona,Vargas,Claudia ,C. Comercial Lorem ipsum dolor 88 2D,'vargas.carmona@correo.com',44441,5,15,mensual,50,TR489116538521358266645727
92050594V,Calvo,Cruz,Nerea ,Rambla Lorem ipsum 226 2H,'cruz.calvo@correo.com',4080,1,10,mensual,10,TR795585070398853758044433
33150780Y,Moreno,Ferrer,Iker ,Acceso Lorem ipsum dolor 61,'ferrer.moreno@correo.com',8017,1,20,mensual,5,GB39MUJS50172570996370
51968097B,Ramos,Castillo,Rosario ,Alameda Lorem ipsum dolor sit 146 15F,'castillo.ramos@correo.com',40185,14,11,mensual,15,GB14SIPV86193224493527
94517349E,Serrano,Carrasco,Sofia ,Travesia Lorem 215B,'carrasco.serrano@correo.com',35220,18,16,trimestral,5,GB55ZAFY89851748597528
51689524Z,Pastor,Delgado,Esther ,Carrer Lorem ipsum dolor 209B 20A,'delgado.pastor@correo.com',8241,15,5,anual,15,GB22KVUM18028477988401
79107492G,Navarro,Blanco,Daniela ,Ronda Lorem 110B,'blanco.navarro@correo.com',35479,7,10,mensual,10,GB26JAYK66540091518150
06947653C,Aguilar,Diez,Paula ,Pasaje Lorem ipsum dolor sit 92A 14D,'diez.aguilar@correo.com',39850,7,16,mensual,5,WF5664222423044623595985593
21011536R,Crespo,Pastor,Vicente ,Rambla Lorem ipsum dolor 248A,'pastor.crespo@correo.com',17752,15,10,mensual,5,WF6125565335534356679570561
17112277R,Cruz,Roman,Mario ,Pasaje Lorem ipsum dolor 96 19A,'roman.cruz@correo.com',30890,3,16,mensual,5,WF4041383920092945092359281
32907331N,Saez,Vargas,Veronica ,Ronda Lorem 9 12C,'vargas.saez@correo.com',5301,6,13,trimestral,5,WF0721812715683400832634716
75385867D,Flores,Suarez,Maria Angeles,Ronda Lorem ipsum dolor 14B,'suarez.flores@correo.com',44142,2,8,anual,5,WF6876262234744814330049391
82481645B,Perez,Mendez,Domingo ,Cuesta Lorem 250A,'mendez.perez@correo.com',3321,10,6,mensual,10,#N/A
32360683M,Vargas,Sanchez,Antonia ,Carrera Lorem ipsum dolor 19 13A,'sanchez.vargas@correo.com',33347,15,9,mensual,10,ES5577644480024527929849
99729294Y,Munoz,Prieto,Jose Francisco,Carrer Lorem 42 17F,'prieto.munoz@correo.com',15582,18,3,mensual,50,ES5577644480024527929850
97669653S,Campos,Santiago,Mario ,Paseo Lorem ipsum dolor 136B 11B,'santiago.campos@correo.com',30813,18,15,mensual,100,ES5577644480024527929851
65131438S,Santana,Diez,Joaquin ,Urbanizacion Lorem ipsum dolor sit 149A 7C,'diez.santana@correo.com',9660,2,3,trimestral,50,ES5577644480024527929852
46517773C,Ibanez,Rojas,Martina ,Calle Lorem 200 9H,'rojas.ibanez@correo.com',15530,15,5,anual,10,ES5577644480024527929853
55350906A,Sanchez,Gonzalez,Daniela ,Pasaje Lorem ipsum dolor 181 10F,'gonzalez.sanchez@correo.com',15108,16,2,mensual,5,ES5577644480024527929854
08770606Q,Martinez,Leon,Vicente ,Calle Lorem ipsum 143A 17E,'leon.martinez@correo.com',33784,8,12,mensual,15,ES5577644480024527929855
19360825T,Medina,Guerrero,Gregorio ,Paseo Lorem ipsum dolor sit 6 20A,'guerrero.medina@correo.com',31005,14,13,mensual,5,ES5577644480024527929856
73715445P,Vidal,Martinez,Maria Soledad,Calle Lorem ipsum dolor 279A,'martinez.vidal@correo.com',12539,15,20,mensual,15,ES5577644480024527929857
90598912A,Vidal,Mendez,Rosa ,Pasaje Lorem 174 6G,'mendez.vidal@correo.com',9117,16,19,trimestral,10,ES5577644480024527929858
76035615F,Moya,Alonso,Catalina ,Pasadizo Lorem ipsum dolor 124 2A,'alonso.moya@correo.com',20070,10,4,anual,5,ES5577644480024527929859
31570905R,Serrano,Molina,Antonio ,Rambla Lorem ipsum dolor sit 70A 10F,'molina.serrano@correo.com',24288,1,3,mensual,5,ES5577644480024527929860
28368030Z,Serrano,Cabrera,Alvaro ,Carrera Lorem ipsum dolor sit 277 8D,'cabrera.serrano@correo.com',14112,7,1,mensual,5,ES5577644480024527929861
82118146G,Ortiz,Vicente,Daniel ,Carretera Lorem ipsum dolor 251 20C,'vicente.ortiz@correo.com',15543,17,19,mensual,5,ES5577644480024527929862
43418495S,Carmona,Rubio,Irene ,Glorieta Lorem ipsum dolor 116,'rubio.carmona@correo.com',33681,16,11,mensual,5,ES5577644480024527929863
27823726M,Martin,Molina,Raquel ,Avenida Lorem ipsum dolor 42B,'molina.martin@correo.com',22126,16,17,trimestral,10,ES5577644480024527929864
54991210G,Ruiz,Diaz,Rocio ,Plaza Lorem ipsum dolor sit 81B 3A,'diaz.ruiz@correo.com',14979,4,5,anual,10,ES5577644480024527929865
95499361A,Montero,Rubio,Carmen ,Carretera Lorem ipsum dolor sit 76B 13F,'rubio.montero@correo.com',46340,5,7,mensual,50,ES5577644480024527929866
17445002P,Crespo,Caballero,Olga ,Travesia Lorem 150 11D,'caballero.crespo@correo.com',26324,10,13,mensual,100,ES5577644480024527929867
25078247J,Carrasco,Sanchez,Jose Carlos,Pasadizo Lorem ipsum dolor sit 1A 4C,'sanchez.carrasco@correo.com',8034,17,15,mensual,50,ES5577644480024527929868
35934494F,Aguilar,Moya,Alberto ,Urbanizacion Lorem 200A,'moya.aguilar@correo.com',25510,6,4,mensual,10,ES5577644480024527929869
54556366K,Leon,Cortes,Alvaro ,Glorieta Lorem 174,'cortes.leon@correo.com',44311,16,20,trimestral,5,ES5577644480024527929870
12428924T,Martin,Mendez,Montserrat ,Urbanizacion Lorem ipsum dolor sit 178A 14D,'mendez.martin@correo.com',45525,10,5,anual,15,ES5577644480024527929871
82037739M,Ortiz,Gil,Alicia ,Paseo Lorem ipsum dolor sit 85 10A,'gil.ortiz@correo.com',47100,7,8,mensual,5,ES5577644480024527929872
17388658Z,Torres,Felip,Xavier ,Pasaje Lorem ipsum dolor 193 1D,'felip.torres@correo.com',25552,13,7,mensual,15,ES5577644480024527929873
45002870N,Arias,Hernandez,Santiago ,Via Lorem 10 13G,'hernandez.arias@correo.com',28013,14,17,mensual,10,ES5577644480024527929874
57884200P,Rojas,Rubio,Jose Ignacio,Pasaje Lorem ipsum dolor 81A 19A,'rubio.rojas@correo.com',37446,15,8,mensual,5,ES5577644480024527929875
19453722T,Martinez,Bravo,Juan Manuel,Callejon Lorem ipsum dolor sit 36A,'bravo.martinez@correo.com',8008,15,1,trimestral,5,ES5577644480024527929876
66288397M,Serrano,Caballero,Roberto ,Avenida Lorem 89A 2F,'caballero.serrano@correo.com',27163,13,6,anual,5,ES5577644480024527929877
40024019V,Vicente,Martinez,Rafael ,Carrer Lorem ipsum dolor sit 168B 13H,'martinez.vicente@correo.com',24438,9,8,mensual,5,ES5577644480024527929878
56725574F,Caballero,Soto,Sofia ,Via Lorem 237A 5F,'soto.caballero@correo.com',27800,7,,mensual,5,ES5577644480024527929879
13984212M,Medina,Delgado,Margarita ,Urbanizacion Lorem ipsum 125 2D,'delgado.medina@correo.com',10529,13,,mensual,10,ES5577644480024527929880
46802420L,Ramos,Arias,Eva Maria,Carrer Lorem ipsum 257A 5E,'arias.ramos@correo.com',43784,8,,mensual,10,ES5577644480024527929881
16612420A,Moya,Vega,Hector ,Cuesta Lorem ipsum dolor sit 255A 17H,'vega.moya@correo.com',10817,7,,trimestral,50,ES5577644480024527929882
37050291M,Ibanez,Munoz,Maria Pilar,Carrer Lorem ipsum dolor 15B 11A,'munoz.ibanez@correo.com',44712,10,,anual,100,ES5577644480024527929883
70648535X,Castillo,Alonso,Raquel ,Carrer Lorem ipsum 280B 8D,'alonso.castillo@correo.com',6109,17,,mensual,50,ES5577644480024527929884
01291998L,Ibanez,Navarro,Ainhoa ,Canada Lorem 187B 2H,'navarro.ibanez@correo.com',4008,2,,mensual,10,ES5577644480024527929885
31889915R,Felip,Castro,Carolina ,Acceso Lorem 121A 4A,'castro.felip@correo.com',30629,14,,mensual,5,ES5577644480024527929886
98360015D,Molina,Guerrero,Hector ,Callejon Lorem ipsum dolor sit 200A 19E,'guerrero.molina@correo.com',34829,14,,mensual,15,ES5577644480024527929887
92656314D,Ramos,Roman,Jose Maria,Carretera Lorem ipsum 56,'roman.ramos@correo.com',32520,5,,trimestral,5,ES5577644480024527929888
45766891L,Moreno,Vicente,Natalia ,Carrer Lorem 267 13A,'vicente.moreno@correo.com',28931,4,,anual,15,ES5577644480024527929889
19175120C,Santana,Rojas,Luis ,Carrera Lorem ipsum 255 12H,'rojas.santana@correo.com',10270,16,,mensual,10,ES5577644480024527929890
35593179N,Castillo,Gonzalez,Gonzalo ,Carretera Lorem 273A 12F,'gonzalez.castillo@correo.com',37453,7,,mensual,5,ES5577644480024527929891
10076963L,Marin,Hernandez,Paula ,Cuesta Lorem ipsum dolor 81B,'hernandez.marin@correo.com',49333,3,,mensual,5,ES5577644480024527929892
13458312T,Arias,Arias,Luisa ,Alameda Lorem ipsum dolor 58B 12G,'arias.arias@correo.com',26140,13,,mensual,5,ES5577644480024527929893
91760387R,Calvo,Blanco,Nicolas ,Carrer Lorem ipsum dolor 131B 20H,'blanco.calvo@correo.com',15126,11,,trimestral,5,ES5577644480024527929894
23073731Q,Vicente,Ramos,Victor Manuel,Travesia Lorem ipsum 125,'ramos.vicente@correo.com',31590,13,,anual,5,ES5577644480024527929895
51393696N,Blanco,Suarez,Sergio ,Pasadizo Lorem ipsum dolor sit 269B 17C,'suarez.blanco@correo.com',8392,16,,mensual,10,ES5577644480024527929896
17143663S,Perez,Gallego,Cristian ,Carrer Lorem ipsum 83A 19G,'gallego.perez@correo.com',25288,12,,mensual,10,ES5577644480024527929897
14066582N,Guerrero,Santana,Silvia ,Urbanizacion Lorem ipsum dolor sit 188A,'santana.guerrero@correo.com',33868,15,,mensual,50,ES5577644480024527929898
38488509X,Bravo,Gallardo,Jose ,Pasadizo Lorem ipsum dolor sit 55B 7E,'gallardo.bravo@correo.com',40430,16,,mensual,100,ES5577644480024527929899
55242976N,Diaz,Roman,Sonia ,Paseo Lorem 166,'roman.diaz@correo.com',48500,13,,trimestral,50,ES5577644480024527929900
16728527Y,Castillo,Aguilar,Felipe ,Canada Lorem ipsum 245A 2B,'aguilar.castillo@correo.com',46960,12,,anual,10,ES5577644480024527929901
17495054N,Navarro,Fuentes,Isabel ,Plaza Lorem ipsum dolor sit 116A 10G,'fuentes.navarro@correo.com',4715,7,,mensual,5,ES5577644480024527929902
07584527R,Ibanez,Molina,Raquel ,Callejon Lorem ipsum dolor 67,'molina.ibanez@correo.com',37129,18,,mensual,15,ES5577644480024527929903
54547303C,Blanco,Vazquez,Beatriz ,Via Lorem ipsum dolor sit 265 15F,'vazquez.blanco@correo.com',38913,13,,mensual,5,ES5577644480024527929904
53255247N,Cortes,Vicente,Daniel ,Urbanizacion Lorem ipsum 238 8H,'vicente.cortes@correo.com',11560,12,,mensual,15,ES5577644480024527929905
29692964X,Soto,Ortega,Elena ,Calle Lorem ipsum dolor sit 245B 11G,'ortega.soto@correo.com',32816,10,,trimestral,10,ES5577644480024527929906
88726479T,Cruz,Sanz,Susana ,Callejon Lorem ipsum 261B 9C,'sanz.cruz@correo.com',8560,17,,anual,5,ES5577644480024527929907
80601242L,Serrano,Molina,Lidia ,Camino Lorem ipsum dolor sit 271A 20D,'molina.serrano@correo.com',7195,1,,mensual,5,ES5577644480024527929908
96968956J,Saez,Gutierrez,Olga ,Urbanizacion Lorem ipsum dolor sit 224B 16G,'gutierrez.saez@correo.com',37554,2,,mensual,5,ES5577644480024527929909
95844329V,Mora,Munoz,Ruben ,Urbanizacion Lorem ipsum 210A 2C,'munoz.mora@correo.com',13415,12,,mensual,5,ES5577644480024527929910
40482041V,Herrera,Lopez,Nuria ,Carrera Lorem ipsum dolor sit 297 3D,'lopez.herrera@correo.com',36818,3,,mensual,5,ES5577644480024527929911
22094168T,Nunez,Mora,Isabel ,Ronda Lorem ipsum dolor sit 162B 20B,'mora.nunez@correo.com',1006,14,,trimestral,10,ES5577644480024527929912
22846153T,Gil,Fernandez,Sandra ,Avenida Lorem 160,'fernandez.gil@correo.com',6475,10,,anual,10,ES5577644480024527929913
89864052Q,Delgado,Bravo,Fatima ,Alameda Lorem ipsum 156B 9E,'bravo.delgado@correo.com',9650,13,,mensual,50,ES5577644480024527929914
87274556K,Mora,Martin,Oscar ,Ronda Lorem ipsum dolor sit 294A,'martin.mora@correo.com',16350,8,,mensual,100,ES5577644480024527929915
45403334T,Soler,Duran,Rosa Maria,Carrera Lorem ipsum dolor sit 155 5B,'duran.soler@correo.com',24174,17,,mensual,50,ES5577644480024527929916
25300631X,Romero,Benitez,Paula ,Pasadizo Lorem ipsum dolor sit 266A 8G,'benitez.romero@correo.com',5510,3,,mensual,10,ES5577644480024527929917
92874384Q,Alonso,Lopez,Noelia ,Carrera Lorem ipsum 266A 18C,'lopez.alonso@correo.com',14209,6,3,trimestral,5,ES5577644480024527929918
25055675G,Bravo,Aguilar,Luisa ,Alameda Lorem ipsum 114A 11B,'aguilar.bravo@correo.com',16321,15,,anual,15,ES5577644480024527929919
58513914M,Romero,Garrido,Jose Francisco,Alameda Lorem ipsum dolor sit 43A 5F,'garrido.romero@correo.com',15184,13,,mensual,5,ES5577644480024527929920
00344217E,Lopez,Nieto,Nuria ,Paseo Lorem ipsum dolor 246 9H,'nieto.lopez@correo.com',9610,1,,mensual,15,ES5577644480024527929921
